ligand,receptor,,,,,,,,,,,,,,,,,
CCL14,CCR5,12964882,16298345,11085751,,,,,,,,,,,,,,
CCL15,CCR1,HPMR,10699158,,,,,,,,,,,,,,,
CCL15,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL16,ADRA2A,,,,,,,,,,,,,,,,,
CCL16,CCR1,11,,,,,,,,,,,,,,,,
CCL16,CCR2,11470772,,,,,,,,,,,,,,,,
CCL16,CCR5,,,,,,,,,,,,,,,,,
CCL16,CCR8,,,,,,,,,,,,,,,,,
CCL16,GRM7,,,,,,,,,,,,,,,,,
CCL16,HRH4,,,,,,,,,,,,,,,,,
CCL16,MTNR1A,,,,,,,,,,,,,,,,,
CCL17,ACKR1,,,,,,,,,,,,,,,,,
CCL17,ACKR2,,,,,,,,,,,,,,,,,
CCL17,CCR4,fantom5,10699158,,,,,,,,,,,,,,,
CCL17,CCR8,,,,,,,,,,,,,,,,,
CCL17,ACKR1,,,,,,,,,,,,,,,,,
CCL18,C14orf1,,,,,,,,,,,,,,,,,
CCL19,ACKR2,,,,,,,,,,,,,,,,,
CCL19,ACKR4,11,,,,,,,,,,,,,,,,
CCL19,ADRA2A,,,,,,,,,,,,,,,,,
CCL19,CCR10,,,,,,,,,,,,,,,,,
CCL19,CCR7,fantom5,10699158,,,,,,,,,,,,,,,
CCL19,CCRL2,,,,,,,,,,,,,,,,,
CCL19,CXCR3,,,,,,,,,,,,,,,,,
CCL19,GRM7,,,,,,,,,,,,,,,,,
CCL19,MTNR1A,,,,,,,,,,,,,,,,,
CCL1,CCR8,HPRD,10699158,,,,,,,,,,,,,,,
CCL20,ADRA2A,,,,,,,,,,,,,,,,,
CCL20,CCR6,HPRD,10699158,,,,,,,,,,,,,,,
CCL20,CXCR3,,,,,,,,,,,,,,,,,
CCL20,GRM7,,,,,,,,,,,,,,,,,
CCL20,MTNR1A,,,,,,,,,,,,,,,,,
CCL21,ACKR2,,,,,,,,,,,,,,,,,
CCL21,ACKR4,11,,,,,,,,,,,,,,,,
CCL21,ADRA2A,,,,,,,,,,,,,,,,,
CCL21,CCR7,HPRD,10699158,,,,,,,,,,,,,,,
CCL21,GRM7,,,,,,,,,,,,,,,,,
CCL21,MTNR1A,,,,,,,,,,,,,,,,,
CCL22,ACKR2,,,,,,,,,,,,,,,,,
CCL22,CCR4,HPMR,10699158,,,,,,,,,,,,,,,
CCL23,ACKR2,,,,,,,,,,,,,,,,,
CCL23,ADRA2A,,,,,,,,,,,,,,,,,
CCL23,CCR1,HPMR,10699158,,,,,,,,,,,,,,,
CCL23,GRM7,,,,,,,,,,,,,,,,,
CCL23,MTNR1A,,,,,,,,,,,,,,,,,
CCL24,ACKR2,,,,,,,,,,,,,,,,,
CCL24,CCR2,,,,,,,,,,,,,,,,,
CCL24,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL25,ACKR2,,,,,,,,,,,,,,,,,
CCL25,ACKR4,11,,,,,,,,,,,,,,,,
CCL25,ADRA2A,,,,,,,,,,,,,,,,,
CCL25,CCR10,,,,,,,,,,,,,,,,,
CCL25,CCR9,HPRD,10699158,,,,,,,,,,,,,,,
CCL25,GRM7,,,,,,,,,,,,,,,,,
CCL25,MTNR1A,,,,,,,,,,,,,,,,,
CCL26,CCR1,,,,,,,,,,,,,,,,,
CCL26,CCR2,,,,,,,,,,,,,,,,,
CCL26,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL27,ACKR2,10725696,,,,,,,,,,,,,,,,
CCL27,ADRA2A,,,,,,,,,,,,,,,,,
CCL27,CCR10,12718728,10725697,11821900,,,,,,,,,,,,,,
CCL27,GRM7,,,,,,,,,,,,,,,,,
CCL27,MTNR1A,,,,,,,,,,,,,,,,,
CCL28,ACKR2,,,,,,,,,,,,,,,,,
CCL28,ADRA2A,,,,,,,,,,,,,,,,,
CCL28,CCR10,10781587,11,,,,,,,,,,,,,,,
CCL28,CCR3,12964882,11,,,,,,,,,,,,,,,
CCL28,GRM7,,,,,,,,,,,,,,,,,
CCL28,MTNR1A,,,,,,,,,,,,,,,,,
CCL2,ACKR1,,,,,,,,,,,,,,,,,
CCL2,ACKR2,,,,,,,,,,,,,,,,,
CCL2,ACKR4,,,,,,,,,,,,,,,,,
CCL2,CCR1,10699158,,,,,,,,,,,,,,,,
CCL2,CCR10,,,,,,,,,,,,,,,,,
CCL2,CCR2,HPRD,10699158,,,,,,,,,,,,,,,
CCL2,CCR3,,,,,,,,,,,,,,,,,
CCL2,CCR4,,,,,,,,,,,,,,,,,
CCL2,CCR5,1,,,,,,,,,,,,,,,,
CCL2,ACKR1,,,,,,,,,,,,,,,,,
CCL3L1,ACKR2,,,,,,,,,,,,,,,,,
CCL3L1,CCR1,,,,,,,,,,,,,,,,,
CCL3L1,CCR3,,,,,,,,,,,,,,,,,
CCL3L1,CCR5,,,,,,,,,,,,,,,,,
CCL3,ACKR2,,,,,,,,,,,,,,,,,
CCL3,CCR1,HPRD,10699158,,,,,,,,,,,,,,,
CCL3,CCR3,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,
CCL3,CCR5,HPMR,10699158,,,,,,,,,,,,,,,
CCL4,ACKR2,,,,,,,,,,,,,,,,,
CCL4,CCR1,10699158,,,,,,,,,,,,,,,,
CCL4,CCR3,,,,,,,,,,,,,,,,,
CCL4,CCR5,fantom5,10699158,,,,,,,,,,,,,,,
CCL4,CCR8,,,,,,,,,,,,,,,,,
CCL5,ACKR1,,,,,,,,,,,,,,,,,
CCL5,ACKR2,,,,,,,,,,,,,,,,,
CCL5,ACKR4,,,,,,,,,,,,,,,,,
CCL5,ADRA2A,,,,,,,,,,,,,,,,,
CCL5,CCR1,10699158,,,,,,,,,,,,,,,,
CCL5,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL5,CCR4,,,,,,,,,,,,,,,,,
CCL5,CCR5,HPRD,10699158,,,,,,,,,,,,,,,
CCL5,CXCR3,,,,,,,,,,,,,,,,,
CCL5,ACKR1,,,,,,,,,,,,,,,,,
CCL5,GPR75,,,,,,,,,,,,,,,,,
CCL5,GRM7,,,,,,,,,,,,,,,,,
CCL5,MTNR1A,,,,,,,,,,,,,,,,,
CCL5,SDC1,,,,,,,,,,,,,,,,,
CCL5,SDC4,,,,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,
CCL7,ACKR2,,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,
CCL7,CCR1,HPRD,10699158,,,,,,,,,,,,,,,
CCL7,CCR10,,,,,,,,,,,,,,,,,
CCL7,CCR2,HPRD,10699158,,,,,,,,,,,,,,,
CCL7,CCR3,HPRD,10699158,,,,,,,,,,,,,,,
CCL7,CCR5,10699158,,,,,,,,,,,,,,,,
CCL7,CXCR3,,,,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,
CCL8,ACKR2,,,,,,,,,,,,,,,,,
CCL8,ACKR4,,,,,,,,,,,,,,,,,
CCL8,CCR1,10699158,,,,,,,,,,,,,,,,
CCL8,CCR2,10699158,,,,,,,,,,,,,,,,
CCL8,CCR3,fantom5,10699158,,,,,,,,,,,,,,,
CCL8,CCR5,HPRD,10699158,,,,,,,,,,,,,,,
CCL8,ACKR1,,,,,,,,,,,,,,,,,
CD14,ITGA4,,,,,,,,,,,,,,,,,
CD14,ITGB1,,,,,,,,,,,,,,,,,
CD14,ITGB2,,,,,,,,,,,,,,,,,
CD14,RIPK1,,,,,,,,,,,,,,,,,
CD14,TLR4,,,,,,,,,,,,,,,,,
CD14,TLR6,,,,,,,,,,,,,,,,,
CD24,SELP,,,,,,,,,,,,,,,,,
CD274,PDCD1,,,,,,,,,,,,,,,,,
CD34,SELL,,,,,,,,,,,,,,,,,
CD34,SELP,,,,,,,,,,,,,,,,,
CD36,TLR4,,,,,,,,,,,,,,,,,
CD36,TLR6,,,,,,,,,,,,,,,,,
CD40LG,CD40,HPRD,1374165,10647992,7516405,7543281,,,,,,,,,,,,
CD40LG,ITGAM,,,,,,,,,,,,,,,,,
CD40LG,ITGB2,,,,,,,,,,,,,,,,,
CD40LG,TRAF3,,,,,,,,,,,,,,,,,
CD48,CD2,,,,,,,,,,,,,,,,,
CD55,ADGRE5,11,,,,,,,,,,,,,,,,
CD55,CR1,,,,,,,,,,,,,,,,,
CD55,ADGRE2,,,,,,,,,,,,,,,,,
CD58,CD2,,,,,,,,,,,,,,,,,
CD5L,CD5,,,,,,,,,,,,,,,,,
CD70,CD27,HPMR,8120384,8186199,8580829,15723067,7479974,9862673,9767422,,,,,,,,,
CD80,CD28,,,,,,,,,,,,,,,,,
CD80,CTLA4,,,,,,,,,,,,,,,,,
CD86,CD28,,,,,,,,,,,,,,,,,
CD86,CTLA4,,,,,,,,,,,,,,,,,
CDH1,CDH2,,,,,,,,,,,,,,,,,
CDH1,EGFR,,,,,,,,,,,,,,,,,
CDH1,ERBB3,,,,,,,,,,,,,,,,,
CDH1,IGF1R,,,,,,,,,,,,,,,,,
CDH1,ITGAE,124,,,,,,,,,,,,,,,,
CDH1,ITGB7,7969453,108,,,,,,,,,,,,,,,
CDH1,KLRG1,,,,,,,,,,,,,,,,,
CDH1,LRP5,,,,,,,,,,,,,,,,,
CDH1,PTPRF,,,,,,,,,,,,,,,,,
CDH1,PTPRM,15588985,,,,,,,,,,,,,,,,
CELA3B,CHRM3,,,,,,,,,,,,,,,,,
CEL,CXCR4,,,,,,,,,,,,,,,,,
CFC1,ACVR1B,,,,,,,,,,,,,,,,,
CFC1,ACVR2A,,,,,,,,,,,,,,,,,
CFC1,SMAD3,,,,,,,,,,,,,,,,,
CFH,ITGAM,,,,,,,,,,,,,,,,,
CFH,SELL,,,,,,,,,,,,,,,,,
CGA,ADCYAP1R1,,,,,,,,,,,,,,,,,
CGA,ADRB2,,,,,,,,,,,,,,,,,
CGA,ADRB3,,,,,,,,,,,,,,,,,
CGA,FSHR,,,,,,,,,,,,,,,,,
CGA,GPR20,,,,,,,,,,,,,,,,,
CGA,GPR84,,,,,,,,,,,,,,,,,
CGA,LHCGR,10342833,12727981,1922095,,,,,,,,,,,,,,
CGA,PTH1R,,,,,,,,,,,,,,,,,
CGA,RAMP2,,,,,,,,,,,,,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,,
CGA,SIRPA,,,,,,,,,,,,,,,,,
CGA,TSHR,,,,,,,,,,,,,,,,,
CGA,VIPR1,,,,,,,,,,,,,,,,,
CGB3,LHCGR,,,,,,,,,,,,,,,,,
CGB3,SIRPA,,,,,,,,,,,,,,,,,
CGN,F11R,,,,,,,,,,,,,,,,,
CGN,OCLN,,,,,,,,,,,,,,,,,
CGN,TGFBR1,,,,,,,,,,,,,,,,,
CGN,TGFBR2,,,,,,,,,,,,,,,,,
CHAD,ITGA2,,,,,,,,,,,,,,,,,
CHAD,ITGB1,,,,,,,,,,,,,,,,,
CKLF,CCR4,,,,,,,,,,,,,,,,,
CLCF1,CNTFR,11294841,11285233,,,,,,,,,,,,,,,
CLCF1,CRLF1,,,,,,,,,,,,,,,,,
CLCF1,IL6ST,,,,,,,,,,,,,,,,,
CLCF1,LIFR,,,,,,,,,,,,,,,,,
CLEC3A,CLEC10A,,,,,,,,,,,,,,,,,
CLEC3A,CLEC2B,,,,,,,,,,,,,,,,,
CNTF,CNTFR,7810882,10812968,,,,,,,,,,,,,,,
CNTF,IL6R,,,,,,,,,,,,,,,,,
CNTF,IL6ST,,,,,,,,,,,,,,,,,
CNTF,LIFR,,,,,,,,,,,,,,,,,
CNTN2,CNTN1,,,,,,,,,,,,,,,,,
CNTN2,CNTNAP2,,,,,,,,,,,,,,,,,
CNTN2,NRCAM,,,,,,,,,,,,,,,,,
CNTN2,NRP1,,,,,,,,,,,,,,,,,
CNTN4,PTPRG,,,,,,,,,,,,,,,,,
COL11A1,DDR1,,,,,,,,,,,,,,,,,
COL11A1,ITGA2,,,,,,,,,,,,,,,,,
COL11A1,ITGB1,,,,,,,,,,,,,,,,,
COL14A1,CD44,,,,,,,,,,,,,,,,,
COL16A1,ITGB1,,,,,,,,,,,,,,,,,
COL18A1,GPC1,,,,,,,,,,,,,,,,,
COL18A1,GPC4,,,,,,,,,,,,,,,,,
COL18A1,ITGA3,,,,,,,,,,,,,,,,,
COL18A1,ITGA5,11,,,,,,,,,,,,,,,,
COL18A1,ITGB1,,,,,,,,,,,,,,,,,
COL18A1,ITGB3,,,,,,,,,,,,,,,,,
COL18A1,ITGB5,,,,,,,,,,,,,,,,,
COL18A1,KDR,,,,,,,,,,,,,,,,,
COL1A1,CD36,,,,,,,,,,,,,,,,,
COL1A1,CD44,,,,,,,,,,,,,,,,,
COL1A1,CD93,,,,,,,,,,,,,,,,,
COL1A1,DDR1,,,,,,,,,,,,,,,,,
COL1A1,DDR2,97,,,,,,,,,,,,,,,,
COL1A1,FLT4,,,,,,,,,,,,,,,,,
COL1A1,ITGA1,,,,,,,,,,,,,,,,,
COL1A1,ITGA11,11856343,2156854,,,,,,,,,,,,,,,
COL1A1,ITGA2,11359786,11856343,2156854,,,,,,,,,,,,,,
COL1A1,ITGA5,,,,,,,,,,,,,,,,,
COL1A1,ITGAV,,,,,,,,,,,,,,,,,
COL1A1,ITGB1,,,,,,,,,,,,,,,,,
COL1A1,TMPRSS6,,,,,,,,,,,,,,,,,
COL1A2,CD36,,,,,,,,,,,,,,,,,
COL1A2,CD44,,,,,,,,,,,,,,,,,
COL1A2,CD93,,,,,,,,,,,,,,,,,
COL1A2,FLT4,,,,,,,,,,,,,,,,,
COL1A2,ITGA1,,,,,,,,,,,,,,,,,
COL1A2,ITGA11,,,,,,,,,,,,,,,,,
COL1A2,ITGA2,,,,,,,,,,,,,,,,,
COL1A2,ITGA2B,,,,,,,,,,,,,,,,,
COL1A2,ITGAV,,,,,,,,,,,,,,,,,
COL1A2,ITGB1,,,,,,,,,,,,,,,,,
COL1A2,ITGB3,,,,,,,,,,,,,,,,,
COL2A1,DDR1,,,,,,,,,,,,,,,,,
COL2A1,ITGA1,,,,,,,,,,,,,,,,,
COL2A1,ITGA10,,,,,,,,,,,,,,,,,
COL2A1,ITGA2,,,,,,,,,,,,,,,,,
COL2A1,ITGA2B,,,,,,,,,,,,,,,,,
COL2A1,ITGB1,,,,,,,,,,,,,,,,,
COL2A1,MAG,,,,,,,,,,,,,,,,,
COL2A1,OR1E1,,,,,,,,,,,,,,,,,
COL2A1,TNFRSF10A,,,,,,,,,,,,,,,,,
COL3A1,DDR1,,,,,,,,,,,,,,,,,
COL3A1,DDR2,,,,,,,,,,,,,,,,,
COL3A1,ITGA2,,,,,,,,,,,,,,,,,
COL3A1,ITGB1,,,,,,,,,,,,,,,,,
COL3A1,MAG,,,,,,,,,,,,,,,,,
COL4A1,CD47,,,,,,,,,,,,,,,,,
COL4A1,CD93,,,,,,,,,,,,,,,,,
COL4A1,ITGA1,,,,,,,,,,,,,,,,,
COL4A1,ITGA2,,,,,,,,,,,,,,,,,
COL4A1,ITGAV,,,,,,,,,,,,,,,,,
COL4A1,ITGB1,,,,,,,,,,,,,,,,,
COL4A1,ITGB8,,,,,,,,,,,,,,,,,
COL4A2,CD93,,,,,,,,,,,,,,,,,
COL4A2,ITGB3,,,,,,,,,,,,,,,,,
COL4A2,ITGB5,,,,,,,,,,,,,,,,,
COL4A3,CD47,,,,,,,,,,,,,,,,,
COL4A3,CD93,,,,,,,,,,,,,,,,,
COL4A3,ITGA1,,,,,,,,,,,,,,,,,
COL4A3,ITGA2,,,,,,,,,,,,,,,,,
COL4A3,ITGA3,,,,,,,,,,,,,,,,,
COL4A3,ITGAV,,,,,,,,,,,,,,,,,
COL4A3,ITGB1,,,,,,,,,,,,,,,,,
COL4A3,ITGB3,,,,,,,,,,,,,,,,,
COL4A4,CD47,,,,,,,,,,,,,,,,,
COL4A4,CD93,,,,,,,,,,,,,,,,,
COL4A4,ITGA1,,,,,,,,,,,,,,,,,
COL4A4,ITGA2,,,,,,,,,,,,,,,,,
COL4A4,ITGAV,,,,,,,,,,,,,,,,,
COL4A4,ITGB1,,,,,,,,,,,,,,,,,
COL4A4,ITGB3,,,,,,,,,,,,,,,,,
COL4A5,CD47,,,,,,,,,,,,,,,,,
COL4A5,CD93,,,,,,,,,,,,,,,,,
COL4A5,ITGA1,,,,,,,,,,,,,,,,,
COL4A5,ITGA2,,,,,,,,,,,,,,,,,
COL4A5,ITGAV,,,,,,,,,,,,,,,,,
COL4A5,ITGB1,,,,,,,,,,,,,,,,,
COL4A6,CD47,,,,,,,,,,,,,,,,,
COL4A6,CD93,,,,,,,,,,,,,,,,,
COL4A6,ITGA1,,,,,,,,,,,,,,,,,
COL4A6,ITGA2,,,,,,,,,,,,,,,,,
COL4A6,ITGAV,,,,,,,,,,,,,,,,,
COL4A6,ITGB1,,,,,,,,,,,,,,,,,
COL5A1,ITGA1,,,,,,,,,,,,,,,,,
COL5A1,ITGB1,,,,,,,,,,,,,,,,,
COL5A1,SDC3,,,,,,,,,,,,,,,,,
COL5A2,DDR1,,,,,,,,,,,,,,,,,
COL5A2,ITGA1,,,,,,,,,,,,,,,,,
COL5A2,ITGB1,,,,,,,,,,,,,,,,,
COL5A3,SDC3,,,,,,,,,,,,,,,,,
COL6A1,ITGA1,,,,,,,,,,,,,,,,,
COL6A1,ITGA2,,,,,,,,,,,,,,,,,
COL6A1,ITGA6,,,,,,,,,,,,,,,,,
COL6A1,ITGB1,,,,,,,,,,,,,,,,,
COL6A2,ITGA1,,,,,,,,,,,,,,,,,
COL6A2,ITGA2,,,,,,,,,,,,,,,,,
COL6A2,ITGB1,,,,,,,,,,,,,,,,,
COL6A3,ITGA1,,,,,,,,,,,,,,,,,
COL6A3,ITGA2,,,,,,,,,,,,,,,,,
COL6A3,ITGB1,,,,,,,,,,,,,,,,,
COL7A1,ITGA2,,,,,,,,,,,,,,,,,
COL7A1,ITGB1,,,,,,,,,,,,,,,,,
COL8A1,ITGA1,,,,,,,,,,,,,,,,,
COL8A1,ITGA2,,,,,,,,,,,,,,,,,
COL9A1,ITGB1,,,,,,,,,,,,,,,,,
COL9A1,MAG,,,,,,,,,,,,,,,,,
COL9A2,ITGB1,,,,,,,,,,,,,,,,,
COL9A2,MAG,,,,,,,,,,,,,,,,,
COL9A3,ITGB1,,,,,,,,,,,,,,,,,
COL9A3,MAG,,,,,,,,,,,,,,,,,
COLQ,MUSK,,,,,,,,,,,,,,,,,
COMP,ITGB1,,,,,,,,,,,,,,,,,
COMP,ITGB3,,,,,,,,,,,,,,,,,
CORT,ADRA2A,,,,,,,,,,,,,,,,,
CORT,GHSR,,,,,,,,,,,,,,,,,
CORT,GRM7,,,,,,,,,,,,,,,,,
CORT,MRGPRX2,,,,,,,,,,,,,,,,,
CORT,MTNR1A,,,,,,,,,,,,,,,,,
CORT,SSTR1,11011067,9650799,10598788,15333679,9205124,9125122,,,,,,,,,,,
CORT,SSTR2,9125122,9650799,10598788,15333679,,,,,,,,,,,,,
CORT,SSTR3,9125122,9650799,10598788,15333679,9205124,,,,,,,,,,,,
CORT,SSTR4,11011067,9650799,10598788,9125122,9205124,,,,,,,,,,,,
CORT,SSTR5,11011067,9650799,10598788,15333679,9205124,9125122,,,,,,,,,,,
CPAMD8,SCTR,,,,,,,,,,,,,,,,,
CP,SLC40A1,,,,,,,,,,,,,,,,,
CRH,ADCYAP1R1,,,,,,,,,,,,,,,,,
CRH,ADRB2,,,,,,,,,,,,,,,,,
CRH,ADRB3,,,,,,,,,,,,,,,,,
CRH,CRHR1,8536644,7692441,9326293,9851694,11123370,8612563,7477349,9178757,,,,,,,,,
CRH,CRHR2,8536644,11123370,8243338,,,,,,,,,,,,,,
CRH,GPR20,,,,,,,,,,,,,,,,,
CRH,GPR84,,,,,,,,,,,,,,,,,
CRH,MC2R,,,,,,,,,,,,,,,,,
CRH,PTH1R,,,,,,,,,,,,,,,,,
CRH,RAMP2,,,,,,,,,,,,,,,,,
CRH,RAMP3,,,,,,,,,,,,,,,,,
CRH,TSHR,,,,,,,,,,,,,,,,,
CRH,VIPR1,,,,,,,,,,,,,,,,,
CRP,OLR1,,,,,,,,,,,,,,,,,
CSF1,CSF1R,HPRD,7883784,2408759,8355686,,,,,,,,,,,,,
CSF2,CSF1R,,,,,,,,,,,,,,,,,
CSF2,CSF2RA,HPMR,2828352,10572088,1702217,8910448,9211889,,,,,,,,,,,
CSF2,CSF2RB,2828352,8278375,2645577,,,,,,,,,,,,,,
CSF2,CSF3R,,,,,,,,,,,,,,,,,
CSF2,IL3RA,,,,,,,,,,,,,,,,,
CSF2,ITGA9,,,,,,,,,,,,,,,,,
CSF2,ITGB1,,,,,,,,,,,,,,,,,
CSF2,SDC2,,,,,,,,,,,,,,,,,
CSF3,CSF1R,,,,,,,,,,,,,,,,,
CSF3,CSF3R,,,,,,,,,,,,,,,,,
CSH1,PRLR,,,,,,,,,,,,,,,,,
CSH2,PRLR,,,,,,,,,,,,,,,,,
CSHL1,GHR,,,,,,,,,,,,,,,,,
CSHL1,PRLR,,,,,,,,,,,,,,,,,
CTF1,IL6ST,,,,,,,,,,,,,,,,,
CTF1,LIFR,,,,,,,,,,,,,,,,,
CTGF,ERBB4,,,,,,,,,,,,,,,,,
CTGF,ITGA5,,,,,,,,,,,,,,,,,
CTGF,ITGAM,,,,,,,,,,,,,,,,,
CTGF,ITGB2,,,,,,,,,,,,,,,,,
CTGF,LRP1,,,,,,,,,,,,,,,,,
CTGF,LRP6,,,,,,,,,,,,,,,,,
CTGF,NTRK1,,,,,,,,,,,,,,,,,
CTHRC1,FZD3,,,,,,,,,,,,,,,,,
CTHRC1,FZD5,,,,,,,,,,,,,,,,,
CTHRC1,FZD6,,,,,,,,,,,,,,,,,
CUBN,LRP2,,,,,,,,,,,,,,,,,
CX3CL1,CX3CR1,HPMR,10699158,,,,,,,,,,,,,,,
CXCL10,ADRA2A,,,,,,,,,,,,,,,,,
CXCL10,CCR3,,,,,,,,,,,,,,,,,
CXCL10,CXCR3,uniprot,literature,10699158,,,,,,,,,,,,,,
CXCL10,GRM7,,,,,,,,,,,,,,,,,
CXCL10,MTNR1A,,,,,,,,,,,,,,,,,
CXCL10,SDC4,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,,,,,,,,,,,,
CXCL11,ACKR3,,,,,,,,,,,,,,,,,
CXCL11,ADRA2A,,,,,,,,,,,,,,,,,
CXCL11,CCR3,,,,,,,,,,,,,,,,,
CXCL11,CXCR3,HPMR,HPRD,10699158,,,,,,,,,,,,,,
CXCL11,GRM7,,,,,,,,,,,,,,,,,
CXCL11,MTNR1A,,,,,,,,,,,,,,,,,
CXCL12,ACKR3,20956518,23396314,,,,,,,,,,,,,,,
CXCL12,ADRA2A,,,,,,,,,,,,,,,,,
CXCL12,CCR4,,,,,,,,,,,,,,,,,
CXCL12,CD4,,,,,,,,,,,,,,,,,
CXCL12,CXCR3,,,,,,,,,,,,,,,,,
CXCL12,CXCR4,literature,10699158,,,,,,,,,,,,,,,
CXCL12,GRM7,,,,,,,,,,,,,,,,,
CXCL12,ITGB1,,,,,,,,,,,,,,,,,
CXCL12,MTNR1A,,,,,,,,,,,,,,,,,
CXCL12,SDC4,,,,,,,,,,,,,,,,,
CXCL13,ACKR4,,,,,,,,,,,,,,,,,
CXCL13,ADRA2A,,,,,,,,,,,,,,,,,
CXCL13,CCR10,,,,,,,,,,,,,,,,,
CXCL13,CXCR3,,,,,,,,,,,,,,,,,
CXCL13,CXCR5,HPRD,10699158,,,,,,,,,,,,,,,
CXCL13,GRM7,,,,,,,,,,,,,,,,,
CXCL13,HTR2A,,,,,,,,,,,,,,,,,
CXCL13,MTNR1A,,,,,,,,,,,,,,,,,
CXCL13,OPRD1,,,,,,,,,,,,,,,,,
CXCL16,ADRA2A,,,,,,,,,,,,,,,,,
CXCL16,CXCR6,14625285,11290797,11017100,11290797,,,,,,,,,,,,,
CXCL16,GRM7,,,,,,,,,,,,,,,,,
CXCL16,MTNR1A,,,,,,,,,,,,,,,,,
CXCL1,ACKR1,,,,,,,,,,,,,,,,,
CXCL1,ADRA2A,,,,,,,,,,,,,,,,,
CXCL1,CXCR1,fantom5,HPRD,10699158,,,,,,,,,,,,,,
CXCL1,CXCR2,10699158,,,,,,,,,,,,,,,,
CXCL1,ACKR1,76,,,,,,,,,,,,,,,,
CXCL1,GRM7,,,,,,,,,,,,,,,,,
CXCL1,MTNR1A,,,,,,,,,,,,,,,,,
CXCL2,ADRA2A,,,,,,,,,,,,,,,,,
CXCL2,CXCR1,93,,,,,,,,,,,,,,,,
CXCL2,CXCR2,10699158,,,,,,,,,,,,,,,,
CXCL2,GRM7,,,,,,,,,,,,,,,,,
CXCL2,MTNR1A,,,,,,,,,,,,,,,,,
CXCL2,XCR1,,,,,,,,,,,,,,,,,
CXCL3,ADRA2A,,,,,,,,,,,,,,,,,
CXCL3,CXCR1,87,,,,,,,,,,,,,,,,
CXCL3,CXCR2,10699158,,,,,,,,,,,,,,,,
CXCL3,GRM7,,,,,,,,,,,,,,,,,
CXCL3,MTNR1A,,,,,,,,,,,,,,,,,
CXCL5,ACKR1,,,,,,,,,,,,,,,,,
CXCL5,ADRA2A,,,,,,,,,,,,,,,,,
CXCL5,CXCR1,HPRD,10699158,,,,,,,,,,,,,,,
CXCL5,CXCR2,10699158,,,,,,,,,,,,,,,,
CXCL5,ACKR1,,,,,,,,,,,,,,,,,
CXCL5,GRM7,,,,,,,,,,,,,,,,,
CXCL5,MTNR1A,,,,,,,,,,,,,,,,,
CXCL6,ACKR1,,,,,,,,,,,,,,,,,
CXCL6,ADRA2A,,,,,,,,,,,,,,,,,
CXCL6,CXCR1,HPMR,HPRD,10699158,,,,,,,,,,,,,,
CXCL6,CXCR2,12964882,9692902,10593335,9692902,,,,,,,,,,,,,
CXCL6,GRM7,,,,,,,,,,,,,,,,,
CXCL6,MTNR1A,,,,,,,,,,,,,,,,,
CXCL8,ACKR1,,,,,,,,,,,,,,,,,
CXCL8,ADRA2A,,,,,,,,,,,,,,,,,
CXCL8,CXCR1,,,,,,,,,,,,,,,,,
CXCL8,CXCR2,,,,,,,,,,,,,,,,,
CXCL8,GRM7,,,,,,,,,,,,,,,,,
CXCL8,MTNR1A,,,,,,,,,,,,,,,,,
CXCL9,ADRA2A,,,,,,,,,,,,,,,,,
CXCL9,CCR3,,,,,,,,,,,,,,,,,
CXCL9,CXCR3,HPMR,HPRD,10699158,,,,,,,,,,,,,,
CXCL9,GRM7,,,,,,,,,,,,,,,,,
CXCL9,MTNR1A,,,,,,,,,,,,,,,,,
CYR61,CAV1,,,,,,,,,,,,,,,,,
CYR61,ITGA5,,,,,,,,,,,,,,,,,
CYR61,ITGAM,,,,,,,,,,,,,,,,,
CYR61,ITGAV,,,,,,,,,,,,,,,,,
CYR61,ITGB2,,,,,,,,,,,,,,,,,
CYR61,ITGB3,,,,,,,,,,,,,,,,,
CYR61,ITGB5,,,,,,,,,,,,,,,,,
DCN,EGFR,,,,,,,,,,,,,,,,,
DCN,ERBB4,,,,,,,,,,,,,,,,,
DCN,MET,,,,,,,,,,,,,,,,,
DEFB103A,CCR2,,,,,,,,,,,,,,,,,
DEFB103A,CCR6,,,,,,,,,,,,,,,,,
DEFB106A,CCR2,,,,,,,,,,,,,,,,,
DEFB1,CCR6,20068036,25122636,,,,,,,,,,,,,,,
DEFB4A,CCR6,20068036,25122636,25585877,,,,,,,,,,,,,,
DEFB4A,TLR4,,,,,,,,,,,,,,,,,
DHH,BOC,,,,,,,,,,,,,,,,,
DHH,CDON,,,,,,,,,,,,,,,,,
DHH,HHIP,11,,,,,,,,,,,,,,,,
DHH,PTCH1,,,,,,,,,,,,,,,,,
